model_name,callsign,measure,order,aic,p,d,q
corpus christi_tx-tmax,"Corpus Christi, TX",tmax,"3, 1, 3",1911.6468095396517,3,1,3
corpus christi_tx-prcp,"Corpus Christi, TX",prcp,"3, 1, 3",2909.172670370329,3,1,3
corpus christi_tx-wdir,"Corpus Christi, TX",wdir,"3, 1, 3",4175.444987958505,3,1,3
corpus christi_tx-wspd,"Corpus Christi, TX",wspd,"2, 1, 2",2293.31965726585,2,1,2
corpus christi_tx-pres,"Corpus Christi, TX",pres,"0, 1, 3",1925.9515625959184,0,1,3
denver_co-tavg,"Denver, CO",tavg,"1, 1, 2",2028.270414427092,1,1,2
denver_co-tmin,"Denver, CO",tmin,"2, 1, 3",1988.4296890537441,2,1,3
denver_co-tmax,"Denver, CO",tmax,"3, 1, 3",2253.5579823041126,3,1,3
denver_co-prcp,"Denver, CO",prcp,"3, 0, 2",1905.238954171495,3,0,2
denver_co-snow,"Denver, CO",snow,"3, 1, 3",3034.164681825595,3,1,3
denver_co-wdir,"Denver, CO",wdir,"0, 1, 2",4174.110027506799,0,1,2
denver_co-wspd,"Denver, CO",wspd,"1, 0, 1",1927.240125431013,1,0,1
denver_co-pres,"Denver, CO",pres,"1, 1, 3",2212.682242479351,1,1,3
des moines_ia-tavg,"Des Moines, IA",tavg,"2, 1, 2",2035.7082143689986,2,1,2
des moines_ia-tmin,"Des Moines, IA",tmin,"3, 2, 2",1984.5809681212445,3,2,2
des moines_ia-tmax,"Des Moines, IA",tmax,"1, 1, 2",2228.017580784104,1,1,2
des moines_ia-prcp,"Des Moines, IA",prcp,"2, 1, 3",2468.8669776306474,2,1,3
des moines_ia-snow,"Des Moines, IA",snow,"0, 1, 3",3263.1940789277655,0,1,3
des moines_ia-wdir,"Des Moines, IA",wdir,"2, 1, 1",4386.691026771687,2,1,1
des moines_ia-wspd,"Des Moines, IA",wspd,"0, 1, 2",2241.9528918568003,0,1,2
des moines_ia-pres,"Des Moines, IA",pres,"1, 1, 2",2296.1234551995526,1,1,2
detroit_mi-tavg,"Detroit, MI",tavg,"0, 1, 3",1894.0547355693539,0,1,3
detroit_mi-tmin,"Detroit, MI",tmin,"3, 1, 3",1886.9389907068353,3,1,3
detroit_mi-tmax,"Detroit, MI",tmax,"0, 1, 3",2081.3099153411176,0,1,3
detroit_mi-prcp,"Detroit, MI",prcp,"0, 0, 1",2437.3603640639394,0,0,1
detroit_mi-snow,"Detroit, MI",snow,"2, 1, 1",3138.0759354855422,2,1,1
detroit_mi-wdir,"Detroit, MI",wdir,"1, 1, 1",4317.634577567222,1,1,1
detroit_mi-wspd,"Detroit, MI",wspd,"0, 1, 2",2262.983892890953,0,1,2
detroit_mi-pres,"Detroit, MI",pres,"3, 0, 2",2254.647076507521,3,0,2
duluth_mn-tavg,"Duluth, MN",tavg,"2, 1, 3",1976.7345815021695,2,1,3
duluth_mn-tmin,"Duluth, MN",tmin,"2, 1, 1",2032.3781953807954,2,1,1
duluth_mn-tmax,"Duluth, MN",tmax,"3, 0, 3",2146.429859806025,3,0,3
duluth_mn-prcp,"Duluth, MN",prcp,"2, 0, 1",2114.2847066885815,2,0,1
duluth_mn-snow,"Duluth, MN",snow,"3, 2, 1",3303.306183456764,3,2,1
duluth_mn-wdir,"Duluth, MN",wdir,"3, 1, 3",4359.772207441036,3,1,3
duluth_mn-wspd,"Duluth, MN",wspd,"0, 1, 2",2365.0762189923726,0,1,2
duluth_mn-pres,"Duluth, MN",pres,"3, 0, 3",2337.198274211417,3,0,3
elko_nv-tavg,"Elko, NV",tavg,"3, 1, 2",1711.1149242905933,3,1,2
elko_nv-tmin,"Elko, NV",tmin,"1, 1, 1",1924.5118928494262,1,1,1
elko_nv-tmax,"Elko, NV",tmax,"3, 1, 3",1976.207111134987,3,1,3
elko_nv-prcp,"Elko, NV",prcp,"0, 0, 2",1673.669271503122,0,0,2
elko_nv-wdir,"Elko, NV",wdir,"1, 1, 1",4572.185792315442,1,1,1
elko_nv-wspd,"Elko, NV",wspd,"1, 1, 1",2020.119784157815,1,1,1
elko_nv-pres,"Elko, NV",pres,"1, 1, 2",2107.133114142076,1,1,2
eureka_ca-tavg,"Eureka, CA",tavg,"1, 1, 1",1376.7415163367878,1,1,1
eureka_ca-tmin,"Eureka, CA",tmin,"1, 1, 2",1490.6009742473059,1,1,2
eureka_ca-tmax,"Eureka, CA",tmax,"1, 1, 1",1524.1510550791845,1,1,1
eureka_ca-prcp,"Eureka, CA",prcp,"2, 0, 2",2028.6683302266301,2,0,2
eureka_ca-wdir,"Eureka, CA",wdir,"3, 1, 3",4234.863646130885,3,1,3
eureka_ca-wspd,"Eureka, CA",wspd,"0, 0, 2",1878.159791759489,0,0,2
eureka_ca-pres,"Eureka, CA",pres,"3, 1, 2",1854.730974657155,3,1,2
fairbanks_ak-tavg,"Fairbanks, AK",tavg,"3, 1, 3",2039.013155629821,3,1,3
fairbanks_ak-tmin,"Fairbanks, AK",tmin,"1, 1, 2",2172.2006474261343,1,1,2
