id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,callsign
KFLG0,Flagstaff / Fort Tuthill,US,AZ,,KFLG,35.1403,-111.6693,2138.0,America/Phoenix,2005-01-01,2022-04-02,2005-01-01,2022-03-30,2005-01-01,2022-01-01,"Flagstaff, AZ"
72278,Phoenix Sky Harbor Airport,US,AZ,72278,KPHX,33.4333,-112.05,345.0,America/Phoenix,1973-01-01,2022-04-02,1933-06-01,2022-03-31,1933-01-01,2022-01-01,"Phoenix, AZ"
KDVT0,Phoenix / Wild Flower,US,AZ,,KDVT,33.6883,-112.0826,451.0,America/Phoenix,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2022-01-01,"Phoenix, AZ"
KLUF0,Phoenix / Glendale / Webb,US,AZ,,KLUF,33.535,-112.3832,331.0,America/Phoenix,1941-12-01,2022-04-02,1941-12-02,2022-03-30,1942-01-01,2021-01-01,"Phoenix, AZ"
72274,Tucson International Airport,US,AZ,72274,KTUS,32.1333,-110.95,805.0,America/Phoenix,1973-01-01,2022-04-02,1946-06-01,2022-03-31,1946-01-01,2022-01-01,"Tucson, AZ"
72594,Eureka,US,CA,72594,KEKA,40.8,-124.1667,13.0,America/Los_Angeles,2006-01-01,2022-03-15,1941-12-01,2022-03-28,1941-01-01,2022-01-01,"Eureka, CA"
72295,Los Angeles Airport,US,CA,72295,KLAX,33.9333,-118.3833,38.0,America/Los_Angeles,1944-01-01,2022-04-02,1944-01-01,2022-03-31,1944-01-01,2022-01-01,"Los Angeles, CA"
KCQT0,Los Angeles / Jefferson,US,CA,,KCQT,34.0167,-118.2833,56.0,America/Los_Angeles,2000-01-01,2022-04-02,2000-01-01,2022-03-30,2000-01-01,2021-01-01,"Los Angeles, CA"
72483,Sacramento Executive Airport,US,CA,72483,KSAC,38.5,-121.5,6.0,America/Los_Angeles,1973-01-01,2022-04-02,1941-11-10,2022-03-31,1941-01-01,2022-01-01,"Sacramento, CA"
KMCC0,Sacramento / McClellan Park,US,CA,,KMCC,38.6676,-121.4006,23.0,America/Los_Angeles,1939-11-09,2022-04-02,1941-02-09,2022-03-31,1941-01-01,2022-01-01,"Sacramento, CA"
KMHR0,Sacramento / Mather Field,US,CA,,KMHR,38.5553,-121.2973,30.0,America/Los_Angeles,2004-01-01,2022-04-02,2010-06-11,2022-03-31,2010-01-01,2022-01-01,"Sacramento, CA"
KSMF0,Sacramento / Kiesel,US,CA,,KSMF,38.6954,-121.5908,8.0,America/Los_Angeles,1973-01-01,2022-04-02,1973-01-01,2022-03-30,1974-01-01,2022-01-01,"Sacramento, CA"
72290,San Diego International Airport,US,CA,72290,KSAN,32.7333,-117.1833,5.0,America/Los_Angeles,1942-01-01,2022-04-02,1939-07-01,2022-03-31,1939-01-01,2022-01-01,"San Diego, CA"
KSDM0,San Diego / Bandini,US,CA,,KSDM,32.5723,-116.9802,160.0,America/Tijuana,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2021-01-01,"San Diego, CA"
KSEE0,San Diego / Town And Country Mobile Home Park,US,CA,,KSEE,32.8262,-116.9724,118.0,America/Los_Angeles,2006-01-02,2022-04-02,2013-10-23,2022-03-31,2014-01-01,2022-01-01,"San Diego, CA"
72681,Boise Air Terminal,US,ID,72681,KBOI,43.5667,-116.2333,871.0,America/Boise,1931-01-01,2022-04-02,1931-01-01,2022-03-31,1931-01-01,2022-01-01,"Boise, ID"
